"Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
"Abbotsford","25 Bloomburg St","2","h",1035000,"S","Biggin","04-02-16",2.5,"3067","2","1","0",156,79,"1900","Yarra",-37.8079,144.9934
"Abbotsford","5 Charles St","3","h",1465000,"SP","Biggin","04-03-17",2.5,"3067","3","2","0",134,150,"1900","Yarra",-37.8093,144.9944
"Abbotsford","55a Park St","4","h",1600000,"VB","Nelson","04-06-16",2.5,"3067","3","1","2",120,142,"2014","Yarra",-37.8072,144.9941
"Abbotsford","124 Yarra St","3","h",1876000,"S","Nelson","07-05-16",2.5,"3067","4","2","0",245,210,"1910","Yarra",-37.8024,144.9993
"Abbotsford","98 Charles St","2","h",1636000,"S","Nelson","08-10-16",2.5,"3067","2","1","2",256,107,"1890","Yarra",-37.806,144.9954
"Abbotsford","10 Valiant St","2","h",1097000,"S","Biggin","08-10-16",2.5,"3067","3","1","2",220,75,"1900","Yarra",-37.801,144.9989
"Abbotsford","40 Nicholson St","3","h",1350000,"VB","Nelson","12-11-16",2.5,"3067","3","2","2",214,190,"2005","Yarra",-37.8085,144.9964
"Abbotsford","16 William St","2","h",1310000,"S","Jellis","15-10-16",2.5,"3067","2","1","2",238,97,"1890","Yarra",-37.809,144.9976
"Abbotsford","42 Henry St","3","h",1200000,"S","Jellis","16-07-16",2.5,"3067","3","2","1",113,110,"1880","Yarra",-37.8056,144.993
"Abbotsford","78 Yarra St","3","h",1176500,"S","LITTLE","16-07-16",2.5,"3067","2","1","1",138,105,"1890","Yarra",-37.8021,144.9965
"Abbotsford","42 Valiant St","2","h",890000,"S","Biggin","17-09-16",2.5,"3067","2","1","1",150,73,"1985","Yarra",-37.8011,145.0004
"Abbotsford","3/72 Charles St","4","h",1330000,"PI","Kay","18-03-17",2.5,"3067","4","2","2",780,135,"1900","Yarra",-37.8073,144.9952
"Abbotsford","52a William St","2","h",1100000,"PI","Biggin","18-06-16",2.5,"3067","2","2","1",124,135,"2013","Yarra",-37.8079,144.9977
"Abbotsford","49 Park St","2","h",1315000,"S","Marshall","19-11-16",2.5,"3067","2","1","0",147,85,"1900","Yarra",-37.808,144.994
"Abbotsford","48 Abbotsford St","3","h",1447500,"PI","Nelson","22-08-16",2.5,"3067","3","3","1",166,174,"2012","Yarra",-37.8017,145.0001
"Abbotsford","159 Park St","2","h",1135000,"S","Nelson","22-08-16",2.5,"3067","2","2","2",98,128,"1920","Yarra",-37.8005,144.9952
"Abbotsford","60 Stafford St","3","h",1290000,"S","Biggin","25-02-17",2.5,"3067","3","1","1",168,124,"1950","Yarra",-37.8007,144.9958
"Abbotsford","47 Studley St","2","h",1180000,"S","Jellis","27-11-16",2.5,"3067","2","1","0",162,91,"1900","Yarra",-37.8016,144.9956
"Abbotsford","45 Yarra St","3","h",1195000,"SP","Jellis","27-11-16",2.5,"3067","3","2","1",120,128,"1998","Yarra",-37.8022,144.9954
"Abbotsford","200 Nicholson St","2","h",1012500,"S","Nelson","28-05-16",2.5,"3067","2","1","0",182,82,"1900","Yarra",-37.8021,144.9976
"Abbotsford","27 Charles St","2","h",1030000,"S","Biggin","30-07-16",2.5,"3067","2","1","1",172,81,"1930","Yarra",-37.8086,144.9946
"Airport West","23 Hart St","2","h",603000,"S","Nelson","04-03-17",13.5,"3042","2","1","1",272,84,"1950","Moonee Valley",-37.7294,144.888
"Airport West","1/37 Hillside Gr","3","h",600000,"S","Maddison","04-03-17",13.5,"3042","2","1","1",290,116,"1980","Moonee Valley",-37.7273,144.8744
"Airport West","11 Harrington Rd","6","h",725000,"SP","Barry","07-05-16",13.5,"3042","6","3","2",976,186,"1980","Moonee Valley",-37.7239,144.8735
"Airport West","3 Deidre Ct","3","h",895000,"PI","Rendina","10-09-16",13.5,"3042","3","1","6",1063,133,"1975","Moonee Valley",-37.7249,144.8728
"Airport West","180 Parer Rd","3","h",830000,"S","Barry","16-04-16",13.5,"3042","3","1","2",971,113,"1960","Moonee Valley",-37.7186,144.876
"Airport West","174 Parer Rd","2","h",675000,"S","Barry","16-07-16",13.5,"3042","2","1","1",612,100,"1975","Moonee Valley",-37.7187,144.8765
"Airport West","138 Victory Rd","3","h",1042000,"S","Nelson","16-07-16",13.5,"3042","3","2","5",612,174,"1950","Moonee Valley",-37.7173,144.8796
"Airport West","6 Kittyhawk St","4","h",773000,"S","Brad","17-09-16",13.5,"3042","5","3","4",531,309,"1980","Moonee Valley",-37.7263,144.8679
"Airport West","478 Fullarton Rd","3","h",810000,"PI","Barry","18-03-17",13.5,"3042","3","3","2",555,192,"1980","Moonee Valley",-37.7285,144.8694
"Airport West","144 Marshall Rd","3","h",715000,"S","Rendina","18-03-17",13.5,"3042","3","2","2",422,126,"1995","Moonee Valley",-37.7164,144.8792
"Airport West","10 Hilbert Rd","3","h",685000,"S","Barry","22-05-16",13.5,"3042","3","1","1",579,113,"1975","Moonee Valley",-37.7226,144.8733
"Airport West","85 Roberts Rd","4","h",900000,"S","Harcourts","27-11-16",13.5,"3042","4","2","3",628,146,"1975","Moonee Valley",-37.7256,144.8739
"Albert Park","105 Kerferd Rd","2","h",1275000,"S","hockingstuart","03-09-16",3.3,"3206","2","1","0",120,82,"1900","Port Phillip",-37.8459,144.9555
"Albert Park","112 Beaconsfield Pde","3","h",2850000,"PI","Buxton","04-03-17",3.3,"3206","3","2","0",211,198,"1890","Port Phillip",-37.8481,144.9499
"Albert Park","94 Graham St","3","h",1850000,"S","Greg","04-03-17",3.3,"3206","3","2","0",128,133,"1890","Port Phillip",-37.8452,144.9488
"Albert Park","396 Montague St","2","h",1436000,"S","RT","04-03-17",3.3,"3206","2","1","0",130,81,"1900","Port Phillip",-37.8431,144.9565
"Albert Park","75 Graham St","2","h",1110000,"S","Marshall","06-08-16",3.3,"3206","1","1","0",147,139.875,"1900","Port Phillip",-37.8444,144.9484
"Albert Park","104 Richardson St","4","h",2300000,"S","Marshall","07-05-16",3.3,"3206","4","2","1",153,180,"1880","Port Phillip",-37.8447,144.9523
"Albert Park","1 Moubray St","3","h",1800000,"VB","Greg","07-11-16",3.3,"3206","3","2","1",132,159,"1996","Port Phillip",-37.8415,144.952
"Albert Park","29 Faussett St","2","h",2120000,"S","Greg","10-09-16",3.3,"3206","2","1","1",199,107,"1900","Port Phillip",-37.8422,144.9554
"Albert Park","24 Kerferd Pl","3","h",1800000,"S","Marshall","10-09-16",3.3,"3206","3","2","1",90,122,"1900","Port Phillip",-37.8421,144.9571
"Albert Park","2 Dundas Pl","3","h",2615000,"S","Cayzer","10-12-16",3.3,"3206","3","2","1",177,181,"1880","Port Phillip",-37.8415,144.9585
"Albert Park","65 Graham St","2","h",1322500,"S","Greg","15-10-16",3.3,"3206","2","1","0",149,98,"1890","Port Phillip",-37.8443,144.9481
"Albert Park","364 Montague St","2","h",1562500,"S","Greg","15-10-16",3.3,"3206","2","1","0",141,83,"1890","Port Phillip",-37.8424,144.9562
"Albert Park","86 Mills St","3","h",2000000,"VB","RT","16-04-16",3.3,"3206","3","2","1",211,147,"1900","Port Phillip",-37.847,144.9575
"Albert Park","129 Kerferd Rd","3","h",1900000,"S","Greg","18-03-17",3.3,"3206","3","1","0",209,139.875,"1900","Port Phillip",-37.8468,144.9546
"Albert Park","97 Page St","3","h",3010000,"S","Greg","18-03-17",3.3,"3206","3","2","0",147,146,"1890","Port Phillip",-37.8473,144.9551
"Albert Park","55 Withers St","4","h",2800000,"VB","Cayzer","18-06-16",3.3,"3206","4","3","1",327,254,"1910","Port Phillip",-37.8467,144.9475
"Albert Park","55 Merton St","3","h",2100000,"SP","Marshall","23-04-16",3.3,"3206","2","1","1",120,123,"1900","Port Phillip",-37.8427,144.9546
"Albert Park","49 Page St","3","h",2000000,"PI","Marshall","24-09-16",3.3,"3206","3","1","1",238,131,"1890","Port Phillip",-37.8461,144.9528
"Albert Park","115 Page St","4","h",4735000,"S","Marshall","25-02-17",3.3,"3206","4","2","1",330,207,"1910","Port Phillip",-37.8477,144.9558
"Albert Park","27 Barrett St","4","h",2140000,"S","Greg","27-06-16",3.3,"3206","3","2","1",183,145,"1880","Port Phillip",-37.8434,144.9495
"Albert Park","6 Brooke St","2","h",980000,"S","Greg","28-05-16",3.3,"3206","2","1","0",79,68,"1890","Port Phillip",-37.8387,144.9519
"Albert Park","17 Reed St","3","h",1740000,"PI","Marshall","28-08-16",3.3,"3206","3","2","2",147,134,"1890","Port Phillip",-37.8448,144.9453
"Alphington","6 Smith St","4","h",2000000,"S","Brace","03-09-16",6.4,"3078","3","2","4",853,263,"1930","Darebin",-37.7707,145.0318
"Alphington","5/6 Yarralea St","3","h",1110000,"S","Jellis","03-09-16",6.4,"3078","3","2","2",208,168.269230769231,"2013","Yarra",-37.7854,145.0325
"Alphington","44 Shiers St","4","h",1717500,"S","Collins","08-10-16",6.4,"3078","4","2","1",599,203,"1925","Darebin",-37.7717,145.031
"Alphington","83 Fulham Rd","5","h",2840000,"S","Nelson","12-06-16",6.4,"3078","5","4","4",809,165,"1910","Darebin",-37.775,145.0268
"Alphington","10 Bennett St","4","h",1830000,"S","Nelson","19-11-16",6.4,"3078","4","2","2",606,112,"1970","Darebin",-37.7743,145.0316
"Alphington","38 Bennett St","4","h",2100000,"S","Nelson","19-11-16",6.4,"3078","4","2","2",575,271,"2008","Darebin",-37.7723,145.0319
"Alphington","2c Hamilton St","3","h",865000,"SP","hockingstuart","22-05-16",6.4,"3078","3","1","1",180,131,"2010","Darebin",-37.7802,145.0243
"Alphington","11 Margaret Gr","4","h",1900000,"SP","McGrath","27-11-16",6.4,"3078","4","2","2",556,272,"1930","Yarra",-37.7844,145.0225
"Alphington","42 Shiers St","4","h",1950000,"S","Jellis","30-07-16",6.4,"3078","4","2","3",589,210,"1920","Darebin",-37.7719,145.0309
"Altona","158 Queen St","3","h",520000,"VB","Greg","03-09-16",13.8,"3018","3","2","1",352,242,"2015","Hobsons Bay",-37.87,144.825
"Altona","59 Bracken Gr","5","h",1525000,"S","Greg","03-12-16",13.8,"3018","5","3","3",729,268,"2005","Hobsons Bay",-37.8721,144.8105
"Altona","4 Blyth St","3","h",1120000,"S","Barlow","04-03-17",13.8,"3018","3","1","2",506,120,"1930","Hobsons Bay",-37.8693,144.8375
"Altona","29 Rose St","4","h",1780000,"SP","Greg","04-06-16",13.8,"3018","4","3","6",1057,220,"1962","Hobsons Bay",-37.8681,144.819
"Altona","156 Maidstone St","3","h",660000,"VB","Greg","07-05-16",13.8,"3018","3","1","1",602,123,"1955","Hobsons Bay",-37.8616,144.8116
"Altona","24 Wren St","4","h",845000,"S","hockingstuart","11-02-17",13.8,"3018","4","1","2",745,130,"1950","Hobsons Bay",-37.8658,144.8155
"Altona","164 Maidstone St","3","h",635000,"S","Sweeney","14-05-16",13.8,"3018","3","1","4",625,169.25,"1960","Hobsons Bay",-37.8611,144.8114
"Altona","22 Fenfield St","3","h",678000,"S","hockingstuart","16-04-16",13.8,"3018","3","1","2",606,87,"1950","Hobsons Bay",-37.8608,144.8124
"Altona","27 McIntyre Dr","3","h",840000,"SP","Greg","18-03-17",13.8,"3018","3","2","2",534,136,"1965","Hobsons Bay",-37.86,144.8245
"Altona","104 Maidstone St","2","h",857000,"SP","hockingstuart","27-11-16",13.8,"3018","2","2","1",675,100,"1950","Hobsons Bay",-37.8653,144.8129
"Altona","3 Curtin Ct","4","h",931000,"S","Sweeney","28-08-16",13.8,"3018","4","2","3",532,169.25,"1970","Hobsons Bay",-37.8637,144.8365
"Altona","2/60 David St","2","h",535600,"SP","Compton","30-07-16",13.8,"3018","2","1","1",154,91,"1996","Hobsons Bay",-37.8646,144.8272
"Altona North","45 Hearn St","5","h",1085000,"S","FN","03-09-16",11.1,"3025","5","3","6",592,251,"1965","Hobsons Bay",-37.8388,144.8567
"Altona North","4 Knapp St","3","h",781000,"S","Jas","03-09-16",11.1,"3025","3","1","2",533,117,"1970","Hobsons Bay",-37.8291,144.835
"Altona North","33 Carthy St","3","h",683000,"S","FN","04-06-16",11.1,"3025","3","1","2",534,167,"1967","Hobsons Bay",-37.8284,144.8355
"Altona North","1/95 Mills St","3","h",588000,"S","Williams","07-05-16",11.1,"3025","3","1","1",328,118,"1970","Hobsons Bay",-37.838,144.8555
"Altona North","5 Binns St","3","h",710000,"PI","Village","07-11-16",11.1,"3025","3","1","3",540,116,"1960","Hobsons Bay",-37.8294,144.8378
"Altona North","25 Allan St","4","h",875000,"SP","Jas","08-10-16",11.1,"3025","3","1","4",559,169,"1965","Hobsons Bay",-37.8448,144.8529
"Altona North","2/36 May St","3","h",675000,"S","hockingstuart","14-05-16",11.1,"3025","3","2","2",171,109,"2012","Hobsons Bay",-37.8337,144.8554
"Altona North","11 Beevers St","3","h",708000,"S","Greg","15-10-16",11.1,"3025","3","1","2",585,97,"1960","Hobsons Bay",-37.8258,144.8523
"Altona North","252 Millers Rd","4","h",693000,"SP","Raine&Horne","22-05-16",11.1,"3025","4","2","4",315,170,"2008","Hobsons Bay",-37.8391,144.8467
"Altona North","1/156 Chambers Rd","3","h",620000,"SP","Hunter","22-08-16",11.1,"3025","5","2","2",276,100,"2010","Hobsons Bay",-37.8262,144.8443
"Altona North","2 Gadsden St","3","h",728500,"S","Jas","22-08-16",11.1,"3025","3","1","1",531,157,"1960","Hobsons Bay",-37.8277,144.8385
"Altona North","24 Hansen St","3","h",931000,"S","hockingstuart","22-08-16",11.1,"3025","3","2","1",590,160,"1950","Hobsons Bay",-37.8382,144.8649
"Altona North","4 Prismall St","3","h",988000,"S","Sweeney","22-08-16",11.1,"3025","3","1","4",715,166.684210526316,"2008","Hobsons Bay",-37.8423,144.8632
"Altona North","6 Hill St","3","h",815000,"S","hockingstuart","25-02-17",11.1,"3025","3","2","3",555,130,"1960","Hobsons Bay",-37.8318,144.8388
"Altona North","5 Cresser St","4","h",1200000,"SP","RT","27-11-16",11.1,"3025","4","1","4",633,158,"1960","Hobsons Bay",-37.8375,144.8541
"Armadale","7 Llaneast St","3","h",1939000,"S","Jellis","03-12-16",6.3,"3143","3","2","2",296,150,"1889","Stonnington",-37.8614,145.0274
"Armadale","28 Cambridge St","3","h",1870000,"S","Hodges","04-03-17",6.3,"3143","3","1","1",217,116,"1888","Stonnington",-37.8592,145.0182
"Armadale","12 Willis St","3","h",2050000,"S","Marshall","04-03-17",6.3,"3143","3","2","1",205,116,"1910","Stonnington",-37.8574,145.0281
"Armadale","526 Orrong Rd","4","h",3000000,"VB","Jellis","04-06-16",6.3,"3143","4","2","2",1581,176.366666666667,"1934","Stonnington",-37.858,145.0111
"Armadale","10 William St","1","h",1435000,"SP","Jellis","08-10-16",6.3,"3143","2","2","1",144,107,"1900","Stonnington",-37.8564,145.0228
"Armadale","40 New St","2","h",1210000,"S","Marshall","12-11-16",6.3,"3143","2","1","0",249,96,"1910","Stonnington",-37.8543,145.016
"Armadale","35 Northcote Rd","4","h",2801000,"S","Marshall","12-11-16",6.3,"3143","4","2","2",624,222,"1900","Stonnington",-37.8536,145.0173
"Armadale","791 High St","3","h",1800000,"PI","RT","15-10-16",6.3,"3143","3","2","2",405,121,"1910","Stonnington",-37.8545,145.0145
"Armadale","25 Llaneast St","4","h",2200000,"PI","Jellis","15-10-16",6.3,"3143","4","1","2",495,163,"1900","Stonnington",-37.8613,145.0264
"Armadale","367 Dandenong Rd","6","h",5525000,"S","Marshall","17-09-16",6.3,"3143","5","3","4",1491,516,"1935","Stonnington",-37.8602,145.013
"Armadale","14 New St","3","h",1300000,"VB","Jellis","18-06-16",6.3,"3143","2","1","2",212,106,"1900","Stonnington",-37.8542,145.0149
"Armadale","63 Denbigh Rd","3","h",1900000,"S","Marshall","22-05-16",6.3,"3143","3","1","2",328,108,"1900","Stonnington",-37.8559,145.0158
"Armadale","75 Sutherland Rd","3","h",1285000,"S","Marshall","25-02-17",6.3,"3143","3","1","2",186,80,"1920","Stonnington",-37.8554,145.0173
"Armadale","44 Denbigh Rd","4","h",3625000,"S","Jellis","27-11-16",6.3,"3143","4","1","2",709,251,"1900","Stonnington",-37.8574,145.016
"Armadale","44 Hampden Rd","4","h",4200000,"VB","Kay","27-11-16",6.3,"3143","4","3","3",563,333,"2000","Stonnington",-37.8582,145.0138
"Armadale","4 Mercer Rd","3","h",3512500,"S","Marshall","27-11-16",6.3,"3143","3","2","2",617,285,"1998","Stonnington",-37.8557,145.0264
"Ascot Vale","30 Rothwell St","3","h",940000,"S","Nelson","03-12-16",5.9,"3032","3","1","2",298,108,"1920","Moonee Valley",-37.7777,144.9195
"Ascot Vale","7 Francis St","3","h",1380000,"SP","Nelson","04-03-17",5.9,"3032","3","2","2",277,174,"1910","Moonee Valley",-37.7777,144.9221
"Ascot Vale","44 The Parade","4","h",1850000,"S","Brad","04-03-17",5.9,"3032","4","3","1",478,270,"1900","Moonee Valley",-37.7729,144.9179
