"Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","CouncilArea","Lattitude","Longtitude"
"Abbotsford","85 Turner St","2","h",1480000,"S","Biggin","03-12-16",2.5,"3067","2","1","1",202,122.51724137931,"Yarra",-37.7996,144.9984
"Abbotsford","25 Bloomburg St","2","h",1035000,"S","Biggin","04-02-16",2.5,"3067","2","1","0",156,79,"Yarra",-37.8079,144.9934
"Abbotsford","5 Charles St","3","h",1465000,"SP","Biggin","04-03-17",2.5,"3067","3","2","0",134,150,"Yarra",-37.8093,144.9944
"Abbotsford","40 Federation La","3","h",850000,"PI","Biggin","04-03-17",2.5,"3067","3","2","1",94,122.51724137931,"Yarra",-37.7969,144.9969
"Abbotsford","55a Park St","4","h",1600000,"VB","Nelson","04-06-16",2.5,"3067","3","1","2",120,142,"Yarra",-37.8072,144.9941
"Abbotsford","129 Charles St","2","h",941000,"S","Jellis","07-05-16",2.5,"3067","2","1","0",181,122.51724137931,"Yarra",-37.8041,144.9953
"Abbotsford","124 Yarra St","3","h",1876000,"S","Nelson","07-05-16",2.5,"3067","4","2","0",245,210,"Yarra",-37.8024,144.9993
"Abbotsford","98 Charles St","2","h",1636000,"S","Nelson","08-10-16",2.5,"3067","2","1","2",256,107,"Yarra",-37.806,144.9954
"Abbotsford","217 Langridge St","3","h",1000000,"S","Jellis","08-10-16",2.5,"3067","3","1","1",194.368421052632,122.51724137931,"Yarra",-37.804665,144.99612
"Abbotsford","10 Valiant St","2","h",1097000,"S","Biggin","08-10-16",2.5,"3067","3","1","2",220,75,"Yarra",-37.801,144.9989
"Abbotsford","40 Nicholson St","3","h",1350000,"VB","Nelson","12-11-16",2.5,"3067","3","2","2",214,190,"Yarra",-37.8085,144.9964
"Abbotsford","22 Park St","4","h",1985000,"S","Biggin","12-11-16",2.5,"3067","4","2","1",194.368421052632,122.51724137931,"Yarra",-37.8084,144.9942
"Abbotsford","45 William St","2","h",1172500,"S","Biggin","13-08-16",2.5,"3067","2","1","1",195,122.51724137931,"Yarra",-37.8084,144.9973
"Abbotsford","16 William St","2","h",1310000,"S","Jellis","15-10-16",2.5,"3067","2","1","2",238,97,"Yarra",-37.809,144.9976
"Abbotsford","42 Henry St","3","h",1200000,"S","Jellis","16-07-16",2.5,"3067","3","2","1",113,110,"Yarra",-37.8056,144.993
