"Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","CouncilArea","Lattitude","Longtitude","Days.diff","Dist.bucket","Price.bucket","Months"
"Abbotsford","85 Turner St","2","h",1480000,"S","Biggin","03-12-16",2.5,"3067","2","1","1",202,122.51724137931,"Yarra",-37.7996,144.9984,337,"very near","8L- 16L","Dec'16"
"Abbotsford","25 Bloomburg St","2","h",1035000,"S","Biggin","04-02-16",2.5,"3067","2","1","0",156,79,"Yarra",-37.8079,144.9934,34,"very near","8L- 16L","Feb'16"
"Abbotsford","5 Charles St","3","h",1465000,"SP","Biggin","04-03-17",2.5,"3067","3","2","0",134,150,"Yarra",-37.8093,144.9944,428,"very near","8L- 16L","Mar'17"
"Abbotsford","40 Federation La","3","h",850000,"PI","Biggin","04-03-17",2.5,"3067","3","2","1",94,122.51724137931,"Yarra",-37.7969,144.9969,428,"very near","8L- 16L","Mar'17"
"Abbotsford","55a Park St","4","h",1600000,"VB","Nelson","04-06-16",2.5,"3067","3","1","2",120,142,"Yarra",-37.8072,144.9941,155,"very near","8L- 16L","Jun'16"
"Abbotsford","129 Charles St","2","h",941000,"S","Jellis","07-05-16",2.5,"3067","2","1","0",181,122.51724137931,"Yarra",-37.8041,144.9953,127,"very near","8L- 16L","May'16"
"Abbotsford","124 Yarra St","3","h",1876000,"S","Nelson","07-05-16",2.5,"3067","4","2","0",245,210,"Yarra",-37.8024,144.9993,127,"very near","16L-25L","May'16"
"Abbotsford","98 Charles St","2","h",1636000,"S","Nelson","08-10-16",2.5,"3067","2","1","2",256,107,"Yarra",-37.806,144.9954,281,"very near","16L-25L","Oct'16"
"Abbotsford","217 Langridge St","3","h",1000000,"S","Jellis","08-10-16",2.5,"3067","3","1","1",194.368421052632,122.51724137931,"Yarra",-37.804665,144.99612,281,"very near","8L- 16L","Oct'16"
"Abbotsford","10 Valiant St","2","h",1097000,"S","Biggin","08-10-16",2.5,"3067","3","1","2",220,75,"Yarra",-37.801,144.9989,281,"very near","8L- 16L","Oct'16"
"Abbotsford","40 Nicholson St","3","h",1350000,"VB","Nelson","12-11-16",2.5,"3067","3","2","2",214,190,"Yarra",-37.8085,144.9964,316,"very near","8L- 16L","Nov'16"
"Abbotsford","22 Park St","4","h",1985000,"S","Biggin","12-11-16",2.5,"3067","4","2","1",194.368421052632,122.51724137931,"Yarra",-37.8084,144.9942,316,"very near","16L-25L","Nov'16"
"Abbotsford","45 William St","2","h",1172500,"S","Biggin","13-08-16",2.5,"3067","2","1","1",195,122.51724137931,"Yarra",-37.8084,144.9973,225,"very near","8L- 16L","Aug'16"
"Abbotsford","16 William St","2","h",1310000,"S","Jellis","15-10-16",2.5,"3067","2","1","2",238,97,"Yarra",-37.809,144.9976,288,"very near","8L- 16L","Oct'16"
"Abbotsford","42 Henry St","3","h",1200000,"S","Jellis","16-07-16",2.5,"3067","3","2","1",113,110,"Yarra",-37.8056,144.993,197,"very near","8L- 16L","Jul'16"
"Abbotsford","78 Yarra St","3","h",1176500,"S","LITTLE","16-07-16",2.5,"3067","2","1","1",138,105,"Yarra",-37.8021,144.9965,197,"very near","8L- 16L","Jul'16"
"Abbotsford","196 Nicholson St","3","h",955000,"S","Collins","17-09-16",2.5,"3067","3","1","0",183,122.51724137931,"Yarra",-37.8022,144.9975,260,"very near","8L- 16L","Sep'16"
"Abbotsford","42 Valiant St","2","h",890000,"S","Biggin","17-09-16",2.5,"3067","2","1","1",150,73,"Yarra",-37.8011,145.0004,260,"very near","8L- 16L","Sep'16"
"Abbotsford","3/72 Charles St","4","h",1330000,"PI","Kay","18-03-17",2.5,"3067","4","2","2",780,135,"Yarra",-37.8073,144.9952,442,"very near","8L- 16L","Mar'17"
"Abbotsford","52a William St","2","h",1100000,"PI","Biggin","18-06-16",2.5,"3067","2","2","1",124,135,"Yarra",-37.8079,144.9977,169,"very near","8L- 16L","Jun'16"
"Abbotsford","49 Park St","2","h",1315000,"S","Marshall","19-11-16",2.5,"3067","2","1","0",147,85,"Yarra",-37.808,144.994,323,"very near","8L- 16L","Nov'16"
"Abbotsford","48 Abbotsford St","3","h",1447500,"PI","Nelson","22-08-16",2.5,"3067","3","3","1",166,174,"Yarra",-37.8017,145.0001,234,"very near","8L- 16L","Aug'16"
"Abbotsford","159 Park St","2","h",1135000,"S","Nelson","22-08-16",2.5,"3067","2","2","2",98,128,"Yarra",-37.8005,144.9952,234,"very near","8L- 16L","Aug'16"
"Abbotsford","49/84 Trenerry Cr","2","h",700000,"S","Biggin","23-04-16",2.5,"3067","2","1","1",194.368421052632,122.51724137931,"Yarra",-37.804665,144.99612,113,"very near","4L-8L","Apr'16"
"Abbotsford","60 Stafford St","3","h",1290000,"S","Biggin","25-02-17",2.5,"3067","3","1","1",168,124,"Yarra",-37.8007,144.9958,421,"very near","8L- 16L","Feb'17"
"Abbotsford","47 Studley St","2","h",1180000,"S","Jellis","27-11-16",2.5,"3067","2","1","0",162,91,"Yarra",-37.8016,144.9956,331,"very near","8L- 16L","Nov'16"
